word,category,n_tokens,tokens
photosynthesis,scientific,2,photo|synthesis
mitochondria,scientific,2,mitochond|ria
thermodynamics,scientific,2,thermo|dynamics
semiconductor,scientific,4,sem|icon|du|ctor
biochemistry,scientific,3,bi|oche|mistry
neuroscience,scientific,2,neuro|science
astrophysics,scientific,2,astro|physics
paleontology,scientific,2,paleonto|logy
crystallography,scientific,2,crystall|ography
pharmacology,scientific,3,pharm|ac|ology
epidemiology,scientific,3,epide|mi|ology
spectroscopy,scientific,2,spectro|scopy
nanotechnology,scientific,3,n|ano|technology
geochemistry,scientific,3,ge|oche|mistry
bioinformatics,scientific,4,bio|in|format|ics
microorganism,scientific,2,micro|organism
chromatography,scientific,3,chrom|ato|graphy
immunology,scientific,2,immun|ology
radiotherapy,scientific,3,radi|other|apy
Mesopotamia,geographic,2,Mesopotam|ia
Kilimanjaro,geographic,4,Kil|iman|j|aro
subcontinent,geographic,2,sub|continent
cartography,geographic,2,carto|graphy
Liechtenstein,geographic,3,Lie|ch|tenstein
sustainability,abstract,2,sustain|ability
globalization,abstract,2,global|ization
accountability,abstract,2,account|ability
democratization,abstract,3,democr|at|ization
entrepreneurship,abstract,2,entrepreneur|ship
individualism,abstract,2,individual|ism
disproportionate,abstract,3,dis|proportion|ate
conceptualization,abstract,2,conceptual|ization
fundamentalism,abstract,2,fundamental|ism
multidimensional,abstract,5,mult|id|imen|sion|al
systematically,abstract,2,system|atically
vulnerabilities,abstract,2,vulner|abilities
authoritarianism,abstract,2,authoritarian|ism
decentralization,abstract,3,de|central|ization
butterscotch,compound,4,butter|sc|ot|ch
counterproductive,compound,2,counter|productive
misunderstanding,compound,2,mis|understanding
troubleshooting,compound,4,troubles|h|oot|ing
underestimate,compound,3,undere|stim|ate
functionality,technical,2,function|ality
authentication,technical,2,authentic|ation
optimization,technical,2,optim|ization
microprocessor,technical,2,micro|processor
interoperability,technical,3,inter|oper|ability
virtualization,technical,2,virtual|ization
parallelization,technical,3,paralle|liz|ation
synchronization,technical,2,synchron|ization
serialization,technical,2,serial|ization
encapsulation,technical,3,en|caps|ulation
polymorphism,technical,4,poly|mor|p|hism
multithreading,technical,3,mult|ith|reading
containerization,technical,2,container|ization
blorpington,nonce,3,bl|orp|ington
snazzlewort,nonce,5,sn|azz|le|w|ort
frimbulation,nonce,4,fr|im|b|ulation
gloptersteen,nonce,3,gl|opter|steen
quazziferous,nonce,3,qu|azz|iferous
drimblethorpe,nonce,4,dr|im|ble|thorpe
fluxomatic,nonce,3,flux|om|atic
gruntleberry,nonce,4,gr|unt|le|berry
splandiforium,nonce,4,spl|andi|for|ium
wibblezatch,nonce,5,w|ib|ble|z|atch
